2026-03-30 10:46:52,957 | INFO | E-Sign | [E-SIGN INIT] loan_id=1
2026-03-30 10:47:24,446 | INFO | E-Sign | E-Sign verify request for txn=cb5d168c05ac41b6a3dc41c8844c47b2
2026-03-30 10:47:24,446 | INFO | E-Sign | [E-SIGN VERIFY] txn=cb5d168c05ac41b6a3dc41c8844c47b2
2026-03-30 10:47:44,690 | INFO | E-Sign | E-Sign callback received for txn=cb5d168c05ac41b6a3dc41c8844c47b2
2026-03-30 10:47:44,690 | INFO | E-Sign | DEV mode: skipping signature validation
2026-03-30 10:47:44,690 | INFO | E-Sign | [CALLBACK] txn=cb5d168c05ac41b6a3dc41c8844c47b2
2026-03-30 10:47:44,693 | INFO | E-Sign | [CALLBACK] already processed
2026-03-30 10:54:45,315 | INFO | E-Sign | E-Sign callback received for txn=cb5d168c05ac41b6a3dc41c8844c47b2
2026-03-30 10:54:45,319 | INFO | E-Sign | DEV mode: skipping signature validation
2026-03-30 10:54:45,323 | INFO | E-Sign | [CALLBACK] txn=cb5d168c05ac41b6a3dc41c8844c47b2
2026-03-30 10:54:45,331 | INFO | E-Sign | [CALLBACK] already processed
2026-03-30 11:21:22,173 | INFO | E-Sign | E-Sign initiate request for loan_id=1
2026-03-30 11:21:22,173 | INFO | E-Sign | [E-SIGN INIT] loan_id=1
2026-03-30 11:21:56,204 | INFO | E-Sign | E-Sign verify request for txn=38d90cad8bd5449d928f6a99221a96e5
2026-03-30 11:21:56,204 | INFO | E-Sign | [E-SIGN VERIFY] txn=38d90cad8bd5449d928f6a99221a96e5
2026-03-30 11:22:18,718 | INFO | E-Sign | E-Sign callback received for txn=38d90cad8bd5449d928f6a99221a96e5
2026-03-30 11:22:18,718 | INFO | E-Sign | DEV mode: skipping signature validation
2026-03-30 11:22:18,718 | INFO | E-Sign | [CALLBACK] txn=38d90cad8bd5449d928f6a99221a96e5
2026-03-30 11:22:18,720 | INFO | E-Sign | [FILE] Saving signed PDF -> storage\signed_pdfs\signed_38d90cad8bd5449d928f6a99221a96e5_20260330_055218.pdf
2026-03-30 11:22:18,748 | INFO | E-Sign | [DISBURSEMENT] Confirming disbursement for loan_id=1
2026-03-30 11:22:18,752 | INFO | E-Sign | [DISBURSEMENT] Triggered for loan_id=1
2026-03-30 11:23:19,461 | INFO | E-Sign | [DISBURSEMENT] Fetching status for loan_id=1
2026-03-30 11:23:30,070 | INFO | E-Sign | [DISBURSEMENT] Confirming disbursement for loan_id=1
2026-03-30 12:11:37,001 | INFO | E-Sign | [DISBURSEMENT] Fetching status for loan_id=1
2026-03-30 12:11:48,955 | INFO | E-Sign | [DISBURSEMENT] Confirming disbursement for loan_id=1
2026-03-30 12:15:05,827 | INFO | E-Sign | [Agreement] Fetching agreement for loan_id=1
2026-03-30 12:15:15,300 | INFO | E-Sign | E-Sign initiate request for loan_id=1
2026-03-30 12:15:15,302 | INFO | E-Sign | [E-SIGN INIT] loan_id=1
2026-03-30 12:15:34,377 | INFO | E-Sign | E-Sign verify request for txn=4c628cf1577f4c8fa659850161caebc7
2026-03-30 12:15:34,377 | INFO | E-Sign | [E-SIGN VERIFY] txn=4c628cf1577f4c8fa659850161caebc7
2026-03-30 12:15:48,461 | INFO | E-Sign | E-Sign callback received for txn=4c628cf1577f4c8fa659850161caebc7
2026-03-30 12:15:48,461 | INFO | E-Sign | DEV mode: skipping signature validation
2026-03-30 12:15:48,463 | INFO | E-Sign | [CALLBACK] txn=4c628cf1577f4c8fa659850161caebc7
2026-03-30 12:15:48,466 | INFO | E-Sign | [FILE] Saving signed PDF -> storage\signed_pdfs\signed_4c628cf1577f4c8fa659850161caebc7_20260330_064548.pdf
2026-03-30 12:15:48,498 | INFO | E-Sign | [DISBURSEMENT] Confirming disbursement for loan_id=1
2026-03-30 12:15:48,498 | INFO | E-Sign | [DISBURSEMENT] Triggered for loan_id=1
2026-03-30 12:15:53,089 | INFO | E-Sign | [DISBURSEMENT] Fetching status for loan_id=1
2026-03-30 12:15:58,126 | INFO | E-Sign | [DISBURSEMENT] Confirming disbursement for loan_id=1
